rank,page,action_density,button_count,tappable_view_count,action_count,unique_handler_count,decision_load,decision_load_score
1,pages/relationship-growth/index,91.2,14,0,14,15,33,90.6
2,pages/settings-detail/index,90.4,14,0,16,13,29,93.9
3,pages/therapeutic-assessment/index,75.3,12,0,12,12,26,72.2
4,pages/home/index,86.7,13,0,17,11,32,57.9
5,pages/growth-dashboard/index,46.9,5,0,8,7,15,49.3
6,pages/relationship-report/index,24.7,4,0,5,3,9,30.8
7,pages/assessment-result/index,12.5,2,0,2,2,7,60.6
8,pages/profile/index,62.0,12,0,12,8,21,42.8
9,pages/feedback-result/index,34.3,5,0,6,5,14,38.4
10,pages/program-detail/index,45.1,4,0,4,10,14,50.9
11,pages/thermometer/index,63.5,7,1,8,12,20,41.2
12,pages/weekly-report/index,15.5,3,0,3,2,7,34.0
13,pages/diary-form/index,47.6,6,0,6,9,16,32.1
14,pages/personalized-plan/index,56.5,9,0,9,9,20,53.7
15,pages/training/index,46.9,8,0,8,7,18,47.6
16,pages/course-detail/index,25.1,4,0,4,4,8,23.1
17,pages/relationship-task/index,41.4,5,0,5,8,13,27.5
18,pages/relationship-pilot/index,28.4,3,0,4,5,9,21.4
19,pages/assessment/index,41.0,4,2,6,7,13,29.1
20,pages/login/index,44.7,5,0,5,9,14,35.3
21,pages/task-detail/index,31.8,4,0,4,6,11,18.2
22,pages/hot-topics/index,25.1,4,0,4,4,8,12.1
23,pages/training-history/index,34.3,6,0,6,5,12,33.8
24,pages/therapeutic-assessment-action-followup/index,40.6,7,0,7,6,13,25.9
25,pages/checkin/index,32.2,3,0,3,7,10,23.0
26,pages/supervision/index,22.2,3,0,3,4,8,16.8
27,pages/training-card/index,25.1,2,0,4,4,12,35.4
28,pages/support-assistant/index,22.2,2,0,3,4,8,26.2
29,pages/goal-setting/index,28.4,4,0,4,5,9,16.8
30,pages/getting-started/index,12.5,2,0,2,2,4,7.6
31,pages/assessment-history/index,25.1,4,0,4,4,8,23.1
32,pages/course/index,12.5,2,0,2,2,4,12.3
33,pages/emergency-guide/index,12.5,2,0,2,2,4,6.1
34,pages/register/index,25.9,2,0,2,6,8,13.7
35,pages/program-list/index,12.5,0,1,2,2,4,13.9
36,pages/assessment-detail/index,22.2,2,1,3,4,8,27.7
37,pages/message-detail/index,18.8,2,0,3,3,6,16.9
38,pages/messages/index,18.8,2,0,3,3,6,16.9
39,pages/relationship-narrative/index,6.3,0,0,1,1,3,10.8
40,pages/emergency-resources/index,6.3,1,0,1,1,2,3.0
41,pages/therapeutic-assessment-action-review/index,3.3,0,0,0,1,1,1.5
42,pages/therapeutic-assessment-boundary/index,3.3,0,0,0,1,1,1.5
43,pages/therapeutic-assessment-feedback-check/index,3.3,0,0,0,1,1,1.5
44,pages/therapeutic-assessment-issue/index,3.3,0,0,0,1,1,1.5
45,pages/therapeutic-assessment-recent-event/index,3.3,0,0,0,1,1,1.5
46,pages/therapeutic-assessment-resources/index,3.3,0,0,0,1,1,1.5
47,pages/therapeutic-assessment-sharing/index,3.3,0,0,0,1,1,1.5
48,pages/therapeutic-assessment-summary/index,3.3,0,0,0,1,1,1.5
