rank,page,density_score,source_bytes,wxml_bytes,section_count,card_count,visible_literal_chars,text_node_count,longest_text_node_chars,title_explanation_count,button_count,tappable_view_count,action_count,unique_handler_count,chart_count,metric_count,recommendation_hits,risk_hits,boundary_hits,status_hits,terminology_burden,repetition_count,conditional_count,decision_load,api_call_count,text_density,action_density,visual_density,terminology,repetition,decision_load_score
1,pages/relationship-growth/index,74.7,39918,12601,0,10,685,61,96,31,14,0,14,15,1,7,4,0,1,28,3,1,26,33,2,95.8,91.2,38.3,75.0,29.2,90.6
2,pages/settings-detail/index,63.2,30442,10987,4,9,733,49,53,26,14,0,16,13,0,0,0,2,1,20,2,0,32,29,4,76.3,90.4,23.8,50.0,12.5,93.9
3,pages/therapeutic-assessment/index,55.3,21076,8579,0,11,784,53,60,31,12,0,12,12,0,0,2,5,3,12,1,0,21,26,15,83.1,75.3,13.8,25.0,37.5,72.2
4,pages/home/index,49.9,35062,7821,5,5,461,49,46,15,13,0,17,11,0,6,4,2,1,15,0,0,6,32,6,62.3,86.7,36.9,0.0,12.5,57.9
5,pages/growth-dashboard/index,46.3,19875,8573,5,10,315,32,36,16,5,0,8,7,0,6,0,2,1,21,3,0,17,15,1,43.4,46.9,43.1,75.0,12.5,49.3
6,pages/relationship-report/index,43.5,20574,6617,8,12,327,32,41,12,4,0,5,3,1,0,1,0,1,7,4,0,11,9,4,45.6,24.7,48.3,100.0,12.5,30.8
7,pages/assessment-result/index,42.0,45199,8716,5,5,284,23,94,9,2,0,2,2,3,2,3,0,0,2,1,2,32,7,4,57.3,12.5,51.9,25.0,33.3,60.6
8,pages/profile/index,38.5,23065,6790,5,5,359,33,46,13,12,0,12,8,0,0,1,6,3,11,0,0,7,21,6,49.3,62.0,21.9,0.0,37.5,42.8
9,pages/feedback-result/index,38.2,22833,6251,7,8,475,38,48,19,5,0,6,5,0,2,3,2,4,6,0,0,11,14,3,57.6,34.3,36.9,0.0,50.0,38.4
10,pages/program-detail/index,37.1,22648,7726,0,12,342,35,34,14,4,0,4,10,0,0,0,0,0,9,2,0,19,14,2,45.5,45.1,15.0,50.0,0.0,50.9
11,pages/thermometer/index,36.6,21539,6390,0,6,220,35,22,7,7,1,8,12,1,3,0,0,0,13,0,3,7,20,0,36.1,63.5,23.3,0.0,50.0,41.2
12,pages/weekly-report/index,36.0,19987,8065,6,20,419,43,45,17,3,0,3,2,0,10,2,1,0,26,0,0,15,7,1,56.9,15.5,68.8,0.0,0.0,34.0
13,pages/diary-form/index,33.9,20232,8110,4,1,539,37,45,25,6,0,6,9,0,0,1,0,1,4,0,1,5,16,1,58.8,47.6,13.8,0.0,29.2,32.1
14,pages/personalized-plan/index,33.2,19519,7878,0,7,308,31,28,12,9,0,9,9,0,4,2,0,0,5,0,0,15,20,0,39.8,56.5,18.8,0.0,0.0,53.7
15,pages/training/index,30.9,25336,6523,2,7,314,34,39,14,8,0,8,7,0,0,3,0,0,3,0,0,13,18,2,45.5,46.9,15.0,0.0,0.0,47.6
16,pages/course-detail/index,25.3,12915,4866,8,10,203,26,31,7,4,0,4,4,0,2,0,0,0,8,0,0,7,8,3,33.6,25.1,42.5,0.0,0.0,23.1
17,pages/relationship-task/index,25.2,19444,3573,1,4,212,18,38,8,5,0,5,8,1,1,0,0,1,1,0,0,5,13,2,32.0,41.4,19.0,0.0,12.5,27.5
18,pages/relationship-pilot/index,25.1,15143,3676,0,7,315,17,45,13,3,0,4,5,0,0,0,0,2,7,1,0,5,9,5,38.3,28.4,8.8,25.0,25.0,21.4
19,pages/assessment/index,24.6,21126,3974,5,4,148,14,35,7,4,2,6,7,0,0,0,0,0,7,0,1,6,13,3,26.1,41.0,20.6,0.0,16.7,29.1
20,pages/login/index,24.3,14646,3256,0,1,232,24,35,8,5,0,5,9,0,0,0,0,1,1,0,0,9,14,5,35.1,44.7,1.2,0.0,12.5,35.3
