rank,page,text_density,visible_literal_chars,text_node_count,longest_text_node_chars,title_explanation_count
1,pages/relationship-growth/index,95.8,685,61,96,31
2,pages/settings-detail/index,76.3,733,49,53,26
3,pages/therapeutic-assessment/index,83.1,784,53,60,31
4,pages/home/index,62.3,461,49,46,15
5,pages/growth-dashboard/index,43.4,315,32,36,16
6,pages/relationship-report/index,45.6,327,32,41,12
7,pages/assessment-result/index,57.3,284,23,94,9
8,pages/profile/index,49.3,359,33,46,13
9,pages/feedback-result/index,57.6,475,38,48,19
10,pages/program-detail/index,45.5,342,35,34,14
11,pages/thermometer/index,36.1,220,35,22,7
12,pages/weekly-report/index,56.9,419,43,45,17
13,pages/diary-form/index,58.8,539,37,45,25
14,pages/personalized-plan/index,39.8,308,31,28,12
15,pages/training/index,45.5,314,34,39,14
16,pages/course-detail/index,33.6,203,26,31,7
17,pages/relationship-task/index,32.0,212,18,38,8
18,pages/relationship-pilot/index,38.3,315,17,45,13
19,pages/assessment/index,26.1,148,14,35,7
20,pages/login/index,35.1,232,24,35,8
21,pages/task-detail/index,33.0,195,23,35,8
22,pages/hot-topics/index,38.2,211,16,59,7
23,pages/training-history/index,29.5,153,16,41,7
24,pages/therapeutic-assessment-action-followup/index,29.6,175,19,34,4
25,pages/checkin/index,38.0,246,18,51,10
26,pages/supervision/index,41.3,316,16,55,10
27,pages/training-card/index,27.1,137,16,36,7
28,pages/support-assistant/index,21.4,125,13,26,6
29,pages/goal-setting/index,33.3,241,18,38,13
30,pages/getting-started/index,40.7,225,15,66,8
31,pages/assessment-history/index,26.1,128,13,39,6
32,pages/course/index,26.2,155,13,36,6
33,pages/emergency-guide/index,32.5,166,11,56,6
34,pages/register/index,21.6,84,12,33,5
35,pages/program-list/index,17.5,100,9,24,6
36,pages/assessment-detail/index,18.8,91,7,32,4
37,pages/message-detail/index,27.2,85,5,60,2
38,pages/messages/index,18.2,100,9,26,4
39,pages/relationship-narrative/index,11.4,58,10,10,3
40,pages/emergency-resources/index,24.9,116,6,48,3
41,pages/therapeutic-assessment-action-review/index,0.0,0,0,0,0
42,pages/therapeutic-assessment-boundary/index,0.0,0,0,0,0
43,pages/therapeutic-assessment-feedback-check/index,0.0,0,0,0,0
44,pages/therapeutic-assessment-issue/index,0.0,0,0,0,0
45,pages/therapeutic-assessment-recent-event/index,0.0,0,0,0,0
46,pages/therapeutic-assessment-resources/index,0.0,0,0,0,0
47,pages/therapeutic-assessment-sharing/index,0.0,0,0,0,0
48,pages/therapeutic-assessment-summary/index,0.0,0,0,0,0
